,Venue,Paper Title,Mention Style,Mention,Notes
0,CHIL 2021,Data Augmentation for Electrocardiograms,Inline Citation,"wagner et al., 2020","data and code availability we use three
datasets: two are from massachusetts general hospital (mgh) and are not publicly available; the third
is ptb-xl (), which is publicly
available on the physionet repository (). code implementing our method is available here:
"
1,CHIL 2021,Data Augmentation for Electrocardiograms,Inline Citation,"goldberger et al., 2000",
2,CHIL 2021,Data Augmentation for Electrocardiograms,URL,https://github.com/aniruddhraghu/ecg_aug,"data and code availability we use three
datasets: two are from massachusetts general hospital (mgh) and are not publicly available; the third
is ptb-xl (), which is publicly
available on the physionet repository (). code implementing our method is available here:
"
3,CHIL 2021,Practical Challenges in Differentially-Private Federated Survival Analysis of Medical Data,Footnote, 1,"data and code availability the pre-processed data
for our experiments can be obtained through the pycox package. we also submit our code as supplemental material alongside this paper.
"
4,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Inline Citation,"johnson et al., 2019","data and code availability we make use of
two chest x-ray datasets: mimic-cxr () and chexpert (). both
datasets are publicly available pending appropriate
data usage agreements. demographic data for pa-
tients in mimic-cxr were obtained from mimiciv (), available through physionet (). we analyze an
additional radiologist-labelled dataset in this paper.
we recruit a board-certified radiologist co-author to
manually label,200 reports in mimic-cxr which
have been labelled as no finding by the chexpert labeller, an automatic rule-based nlp model
(). this dataset, along with code
to reproduce our results, can be found at "
5,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Inline Citation,"irvin et al., 2019",
6,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Inline Citation,"johnson et al., 2021",
7,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Inline Citation,"goldberger et al., 2000",
8,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Inline Citation,"irvin et al., 2019",
9,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,URL,https://github.com/mlforhealth/cxr_fairness,"data and code availability we make use of
two chest x-ray datasets: mimic-cxr () and chexpert (). both
datasets are publicly available pending appropriate
data usage agreements. demographic data for pa-
tients in mimic-cxr were obtained from mimiciv (), available through physionet (). we analyze an
additional radiologist-labelled dataset in this paper.
we recruit a board-certified radiologist co-author to
manually label,200 reports in mimic-cxr which
have been labelled as no finding by the chexpert labeller, an automatic rule-based nlp model
(). this dataset, along with code
to reproduce our results, can be found at "
10,CHIL 2021,Improving the Fairness of Chest X-ray Classifiers,Footnote, 1,"data and code availability we make use of
two chest x-ray datasets: mimic-cxr () and chexpert (). both
datasets are publicly available pending appropriate
data usage agreements. demographic data for pa-
tients in mimic-cxr were obtained from mimiciv (), available through physionet (). we analyze an
additional radiologist-labelled dataset in this paper.
we recruit a board-certified radiologist co-author to
manually label,200 reports in mimic-cxr which
have been labelled as no finding by the chexpert labeller, an automatic rule-based nlp model
(). this dataset, along with code
to reproduce our results, can be found at "
11,CHIL 2021,Lead-agnostic Self-supervised Learning for Local and Global Representations of Electrocardiogram,Inline Citation,"reyna et al., 2021","data and code availability this paper uses
the physionet 2021 dataset and ptb-xl dataset,
which are publicly available on the physionet repository (; ). more
details about datasets can be found at section .
our implementation code can be accessed at this
repository.
1. "
12,CHIL 2021,Lead-agnostic Self-supervised Learning for Local and Global Representations of Electrocardiogram,Inline Citation,"wagner et al., 2020",
13,CHIL 2021,Lead-agnostic Self-supervised Learning for Local and Global Representations of Electrocardiogram,URL,https://github.com/jwoo5/fairseq-signals,"data and code availability this paper uses
the physionet 2021 dataset and ptb-xl dataset,
which are publicly available on the physionet repository (; ). more
details about datasets can be found at section .
our implementation code can be accessed at this
repository.
1. "
14,CHIL 2021,Lead-agnostic Self-supervised Learning for Local and Global Representations of Electrocardiogram,Footnote,1,"data and code availability this paper uses
the physionet 2021 dataset and ptb-xl dataset,
which are publicly available on the physionet repository (; ). more
details about datasets can be found at section .
our implementation code can be accessed at this
repository.
1. "
15,CHIL 2021,Learning Unsupervised Representations for ICU Timeseries,Inline Citation,"hyland et al., 2020","data and code availability this paper uses the
hirid icu dataset (), which is
available on the physionet repository. the proposed model is also evaluated on an icu dataset from
1.  hospital for sick children in toronto canada,
which unfortunately is not publicly available. the
code implementation of this work and all the experiments are made available here: "
16,CHIL 2021,Learning Unsupervised Representations for ICU Timeseries,URL,https://physionet.org/content/hirid//the,"data and code availability this paper uses the
hirid icu dataset (), which is
available on the physionet repository. the proposed model is also evaluated on an icu dataset from
1.  hospital for sick children in toronto canada,
which unfortunately is not publicly available. the
code implementation of this work and all the experiments are made available here: "
17,CHIL 2021,Learning Unsupervised Representations for ICU Timeseries,URL,https://github.com/addison-weatherhead/trace,
